fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220521 200534	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	59	TRUE	0.0108424175392595	0.85936590956955	1175	16	0.0111430959790847	12924000	93
20220521 200644	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	221	TRUE	0.0103212155742962	0.960680989979813	1083	16	0.0225994523672395	12252000	94
20220521 200659	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	21	TRUE	0.29989649704059	0.8591312207569	5692	1023	0.0243949462591754	12274000	95
20220521 201017	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	464	TRUE	0.0109124797335438	0.86466780570631	2860	1024	0.0110225191900619	12760000	96
20220521 201054	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	36	TRUE	0.107230247147441	0.726938861513262	2435	1020	0.0170511853977782	13256000	97
20220521 201427	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	440	TRUE	0.0101491113402994	0.478971105468169	2356	657	0.0164750462610993	13827000	98
20220521 201717	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	424	TRUE	0.0105005920517336	0.996748797847149	2202	507	0.0159862991971001	13307000	99
20220521 202054	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	514	TRUE	0.0101558048227476	0.576513114955872	3947	707	0.0167371840900084	13660000	100
20220521 202442	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	447	TRUE	0.0111004147090339	0.449382609311521	2294	533	0.0164077137202896	13937000	101
20220521 202909	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	620	TRUE	0.0101039352732105	0.473306486644829	2196	94	0.0153049781714871	13918000	102
20220521 203235	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	531	TRUE	0.0102465766125086	0.452056798028832	2270	48	0.0154065540476891	13679000	103
